FECHA (YYMMDD);HORA (HHMM);;
111215;0100;66,2899;
111215;0200;63,34;
111215;0300;65,6399;
111215;0400;63,42;
111215;0500;61,48;
111215;0600;60,04;
111215;0700;55,31;
111215;0800;58,46;
111215;0900;55,48;
111215;1000;55,31;
111215;1100;54,95;
111215;1200;55,56;
111215;1300;52,39;
111215;1400;51,8;
111215;1500;51,58;
111215;1600;55,9399;
111215;1700;62,2;
111215;1800;63,4;
111215;1900;63,79;
111215;2000;64,98;
111215;2100;68,1499;
111215;2200;71,22;
111215;2300;68,85;
111216;0000;;
111216;0100;;
111216;0200;;
111216;0300;;
111216;0400;;
111216;0500;;
111216;0600;;
111216;0700;;
111216;0800;;
111216;0900;;
111216;1000;;
111216;1100;;
111216;1200;;
111216;1300;;
111216;1400;;
111216;1500;;
111216;1600;;
111216;1700;;
111216;1800;;
111216;1900;;
111216;2000;;
111216;2100;;
111216;2200;;
111216;2300;;
111217;0000;;
111217;0100;;
111217;0200;;
111217;0300;60,08;
111217;0400;56,08;
111217;0500;58,65;
111217;0600;57,68;
111217;0700;55,25;
111217;0800;50,42;
111217;0900;50,24;
111217;1000;49,49;
111217;1100;49,6299;
111217;1200;49,78;
111217;1300;49,93;
111217;1400;51,3;
111217;1500;54,15;
111217;1600;;
111217;1700;;
111217;1800;;
111217;1900;;
111217;2000;;
111217;2100;;
111217;2200;;
111217;2300;;
111218;0000;;
111218;0100;;
111218;0200;;
111218;0300;;
111218;0400;;
111218;0500;;
111218;0600;;
111218;0700;;
111218;0800;;
111218;0900;;
111218;1000;;
111218;1100;;
111218;1200;;
111218;1300;;
111218;1400;;
111218;1500;;
111218;1600;;
111218;1700;;
111218;1800;;
111218;1900;;
111218;2000;;
111218;2100;;
111218;2200;;
111218;2300;;
111219;0000;;
111219;0100;;
111219;0200;;
111219;0300;;
111219;0400;;
111219;0500;;
111219;0600;;
111219;0700;;
111219;0800;;
111219;0900;;
111219;1000;;
111219;1100;;
111219;1200;;
111219;1300;;
111219;1400;;
111219;1500;;
111219;1600;;
111219;1700;;
111219;1800;;
111219;1900;;
111219;2000;;
111219;2100;;
111219;2200;;
111219;2300;;
111220;0000;;
111220;0100;;
111220;0200;;
111220;0300;;
111220;0400;;
111220;0500;;
111220;0600;;
111220;0700;;
111220;0800;;
111220;0900;;
111220;1000;;
111220;1100;;
111220;1200;;
111220;1300;;
111220;1400;;
111220;1500;;
111220;1600;;
111220;1700;;
111220;1800;;
111220;1900;;
111220;2000;;
111220;2100;;
111220;2200;;
111220;2300;;
111221;0000;;
111221;0100;;
111221;0200;;
111221;0300;;
111221;0400;;
111221;0500;;
111221;0600;;
111221;0700;;
111221;0800;;
111221;0900;;
111221;1000;;
111221;1100;;
111221;1200;;
111221;1300;;
111221;1400;;
111221;1500;;
111221;1600;;
111221;1700;;
111221;1800;;
111221;1900;;
111221;2000;;
111221;2100;;
111221;2200;;
111221;2300;;
111222;0000;;
111222;0100;;
111222;0200;;
111222;0300;;
111222;0400;;
111222;0500;;
111222;0600;;
111222;0700;;
111222;0800;;
111222;0900;;
111222;1000;;
111222;1100;;
111222;1200;;
111222;1300;;
111222;1400;;
111222;1500;;
111222;1600;;
