FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090812;0000;;;2,00449;
090813;0000;;;2,00518;
090814;0000;;;1,81606;
090815;0000;;;1,73831;
090816;0000;;;1,85271;
090817;0000;;;1,92467;
090818;0000;;;2,06475;
090819;0000;;;1,98872;
090820;0000;;;1,96274;
090821;0000;;;2,01601;
090822;0000;;;2,05225;
090823;0000;;;2,00611;
090824;0000;;;2,19985;
090825;0000;;;2,04614;
090826;0000;;;1,95856;
090827;0000;;;1,83793;
090828;0000;;;1,90972;
090829;0000;;;2,08984;
090830;0000;;;2,07558;
090831;0000;;;1,84968;
090901;0000;;;1,66348;
090902;0000;;;1,7395;
090903;0000;;;1,77932;
090904;0000;;;1,79347;
090905;0000;;;2,03303;
090906;0000;;;1,86743;
090907;0000;;;1,77428;
090908;0000;;;1,65933;
090909;0000;;;;
090910;0000;;;;
090911;0000;;;;
090912;0000;;;1,3702;
090913;0000;;;1,56751;
090914;0000;;;1,84736;
090915;0000;;;;
090916;0000;;;;
090917;0000;;;;
090918;0000;;;;
090919;0000;;;;
090920;0000;;;;
090921;0000;;;;
090922;0000;;;;
090923;0000;;;;
090924;0000;;;;
090925;0000;;;;
090926;0000;;;;
090927;0000;;;;
090928;0000;;;;
090929;0000;;;;
090930;0000;;;;
091001;0000;;;;
091002;0000;;;;
091003;0000;;;;
091004;0000;;;;
091005;0000;;;;
091006;0000;;;;
091007;0000;;;2,42099;
091008;0000;;;;
091009;0000;;;;
091010;0000;;;;
091011;0000;;;;
091012;0000;;;;
091013;0000;;;;
091014;0000;;;;
091015;0000;;;;
091016;0000;;;;
091017;0000;;;;
091018;0000;;;;
091019;0000;;;;
091020;0000;;;;
091021;0000;;;;
091022;0000;;;;
091023;0000;;;;
091024;0000;;;;
091025;0000;;;;
091026;0000;;;;
091027;0000;;;;
091028;0000;;;;
091029;0000;;;;
091030;0000;;;;
091031;0000;;;;
091101;0000;;;;
091102;0000;;;;
091103;0000;;;;
091104;0000;;;;
091105;0000;;;;
091106;0000;;;;
091107;0000;;;;
091108;0000;;;;
091109;0000;;;;
091110;0000;;;;
091111;0000;;;;
091112;0000;;;;
091113;0000;;;;
091114;0000;;;;
091115;0000;;;;
091116;0000;;;;
091117;0000;;;;
091118;0000;;;;
091119;0000;;;;
091120;0000;;;;
091121;0000;;;;
091122;0000;;;;
091123;0000;;;;
091124;0000;;;;
091125;0000;;;;
091126;0000;;;;
091127;0000;;;;
091128;0000;;;;
091129;0000;;;;
091130;0000;;;;
091201;0000;;;;
091202;0000;;;;
091203;0000;;;;
091204;0000;;;;
091205;0000;;;;
091206;0000;;;;
091207;0000;;;;
091208;0000;;;;
091209;0000;;;;
091210;0000;;;;
091211;0000;;;;
091212;0000;;;;
091213;0000;;;;
091214;0000;;;;
091215;0000;;;;
091216;0000;;;;
091217;0000;;;;
091218;0000;;;;
091219;0000;;;;
091220;0000;;;;
091221;0000;;;;
091222;0000;;;;
091223;0000;;;;
091224;0000;;;;
091225;0000;;;;
091226;0000;;;;
091227;0000;;;;
091228;0000;;;;
091229;0000;;;;
091230;0000;;;;
091231;0000;;;;
100101;0000;;;;
100102;0000;;;;
100103;0000;;;;
100104;0000;;;;
100105;0000;;;;
100106;0000;;;;
100107;0000;;;;
100108;0000;;;;
100109;0000;;;;
100110;0000;;;;
100111;0000;;;;
100112;0000;;;;
100113;0000;;;;
100114;0000;;;;
100115;0000;;;;
100116;0000;;;;
100117;0000;;;;
100118;0000;;;;
100119;0000;;;;
100120;0000;;;;
100121;0000;;;;
100122;0000;;;;
100123;0000;;;;
100124;0000;;;;
100125;0000;;;;
100126;0000;;;;
100127;0000;;;;
100128;0000;;;;
100129;0000;;;;
100130;0000;;;;
100131;0000;;;;
100201;0000;;;;
100202;0000;;;;
100203;0000;;;;
100204;0000;;;;
