FECHA (YYMMDD);HORA (HHMM);;
121018;0100;;
121018;0200;;
121018;0300;;
121018;0400;;
121018;0500;;
121018;0600;;
121018;0700;;
121018;0800;;
121018;0900;;
121018;1000;;
121018;1100;;
121018;1200;;
121018;1300;;
121018;1400;247,634;
121018;1500;255,289;
121018;1600;;
121018;1700;;
121018;1800;;
121018;1900;;
121018;2000;;
121018;2100;;
121018;2200;;
121018;2300;;
121019;0000;;
121019;0100;;
121019;0200;;
121019;0300;;
121019;0400;;
121019;0500;;
121019;0600;;
121019;0700;;
121019;0800;;
121019;0900;;
121019;1000;;
121019;1100;;
121019;1200;;
121019;1300;;
121019;1400;;
121019;1500;;
121019;1600;;
121019;1700;;
121019;1800;;
121019;1900;;
121019;2000;;
121019;2100;;
121019;2200;;
121019;2300;;
121020;0000;;
121020;0100;;
121020;0200;;
121020;0300;;
121020;0400;;
121020;0500;;
121020;0600;;
121020;0700;;
121020;0800;;
121020;0900;;
121020;1000;;
121020;1100;;
121020;1200;;
121020;1300;;
121020;1400;;
121020;1500;;
121020;1600;;
121020;1700;;
121020;1800;;
121020;1900;;
121020;2000;;
121020;2100;;
121020;2200;;
121020;2300;;
121021;0000;;
121021;0100;;
121021;0200;;
121021;0300;;
121021;0400;;
121021;0500;;
121021;0600;;
121021;0700;;
121021;0800;;
121021;0900;;
121021;1000;;
121021;1100;;
121021;1200;;
121021;1300;;
121021;1400;;
121021;1500;;
121021;1600;;
121021;1700;;
121021;1800;;
121021;1900;;
121021;2000;;
121021;2100;;
121021;2200;;
121021;2300;;
121022;0000;;
121022;0100;;
121022;0200;;
121022;0300;;
121022;0400;;
121022;0500;;
121022;0600;;
121022;0700;;
121022;0800;;
121022;0900;;
121022;1000;;
121022;1100;;
121022;1200;;
121022;1300;;
121022;1400;;
121022;1500;;
121022;1600;;
121022;1700;;
121022;1800;;
121022;1900;;
121022;2000;;
121022;2100;;
121022;2200;;
121022;2300;;
121023;0000;;
121023;0100;;
121023;0200;;
121023;0300;;
121023;0400;;
121023;0500;;
121023;0600;;
121023;0700;;
121023;0800;;
121023;0900;;
121023;1000;;
121023;1100;;
121023;1200;;
121023;1300;;
121023;1400;;
121023;1500;;
121023;1600;;
121023;1700;;
121023;1800;;
121023;1900;;
121023;2000;;
121023;2100;;
121023;2200;;
121023;2300;;
121024;0000;;
121024;0100;;
121024;0200;;
121024;0300;;
121024;0400;;
121024;0500;;
121024;0600;;
121024;0700;;
121024;0800;;
121024;0900;;
121024;1000;;
121024;1100;;
121024;1200;;
121024;1300;;
121024;1400;;
121024;1500;;
121024;1600;;
121024;1700;;
121024;1800;;
121024;1900;;
121024;2000;;
121024;2100;;
121024;2200;;
121024;2300;;
121025;0000;;
121025;0100;;
121025;0200;;
121025;0300;;
121025;0400;;
121025;0500;;
121025;0600;;
121025;0700;;
121025;0800;;
121025;0900;;
121025;1000;;
121025;1100;;
121025;1200;;
121025;1300;;
121025;1400;;
121025;1500;;
121025;1600;;
121025;1700;;
121025;1800;;
121025;1900;;
121025;2000;;
121025;2100;;
121025;2200;;
121025;2300;;
121026;0000;;
121026;0100;;
121026;0200;;
121026;0300;;
121026;0400;;
121026;0500;;
121026;0600;;
121026;0700;;
121026;0800;;
121026;0900;;
121026;1000;;
121026;1100;;
121026;1200;;
121026;1300;;
121026;1400;;
121026;1500;;
121026;1600;;
121026;1700;;
121026;1800;;
121026;1900;;
121026;2000;;
121026;2100;;
121026;2200;;
121026;2300;;
121027;0000;;
121027;0100;;
121027;0200;;
121027;0300;;
121027;0400;;
121027;0500;;
121027;0600;;
121027;0700;;
121027;0800;;
121027;0900;;
121027;1000;;
121027;1100;;
121027;1200;;
121027;1300;;
121027;1400;;
121027;1500;;
121027;1600;;
121027;1700;;
121027;1800;;
121027;1900;;
121027;2000;;
121027;2100;;
121027;2200;;
121027;2300;;
121028;0000;;
121028;0100;;
121028;0200;;
121028;0300;;
121028;0400;;
121028;0500;;
121028;0600;;
121028;0700;;
121028;0800;;
121028;0900;;
121028;1000;;
121028;1100;;
121028;1200;;
121028;1300;;
121028;1400;;
121028;1500;;
121028;1600;;
121028;1700;;
121028;1800;;
121028;1900;;
121028;2000;;
121028;2100;;
121028;2200;;
121028;2300;;
121029;0000;;
121029;0100;;
121029;0200;;
121029;0300;;
121029;0400;;
121029;0500;;
121029;0600;;
121029;0700;;
121029;0800;;
121029;0900;;
121029;1000;;
121029;1100;;
121029;1200;;
121029;1300;;
121029;1400;;
121029;1500;;
121029;1600;;
121029;1700;;
121029;1800;;
121029;1900;;
121029;2000;;
121029;2100;;
121029;2200;;
121029;2300;;
121030;0000;;
121030;0100;;
121030;0200;;
121030;0300;;
121030;0400;;
121030;0500;;
121030;0600;;
121030;0700;;
121030;0800;;
121030;0900;;
121030;1000;;
121030;1100;;
121030;1200;;
121030;1300;;
121030;1400;;
121030;1500;;
121030;1600;265,856;
121030;1700;251,73;
121030;1800;241,722;
121030;1900;264,328;
121030;2000;;
121030;2100;296,491;
121030;2200;137,641;
121030;2300;42,4615;
121031;0000;;
121031;0100;;
121031;0200;;
121031;0300;;
121031;0400;;
121031;0500;;
121031;0600;;
121031;0700;;
121031;0800;;
121031;0900;;
121031;1000;;
121031;1100;;
121031;1200;;
121031;1300;;
121031;1400;;
121031;1500;;
121031;1600;;
121031;1700;;
121031;1800;;
121031;1900;;
121031;2000;;
121031;2100;;
121031;2200;;
121031;2300;;
121101;0000;;
121101;0100;;
121101;0200;;
121101;0300;;
121101;0400;;
121101;0500;;
121101;0600;;
121101;0700;;
121101;0800;;
121101;0900;;
121101;1000;;
121101;1100;;
121101;1200;;
121101;1300;;
121101;1400;;
121101;1500;;
121101;1600;;
121101;1700;;
121101;1800;;
121101;1900;;
121101;2000;;
121101;2100;;
121101;2200;;
121101;2300;;
121102;0000;;
121102;0100;;
121102;0200;;
121102;0300;;
121102;0400;;
121102;0500;;
121102;0600;;
121102;0700;;
121102;0800;;
121102;0900;;
121102;1000;;
121102;1100;;
121102;1200;;
121102;1300;;
121102;1400;;
121102;1500;;
121102;1600;;
121102;1700;;
121102;1800;;
121102;1900;;
121102;2000;;
121102;2100;;
121102;2200;;
121102;2300;;
121103;0000;;
121103;0100;;
121103;0200;;
121103;0300;;
121103;0400;;
121103;0500;;
121103;0600;;
121103;0700;;
121103;0800;;
121103;0900;;
121103;1000;;
121103;1100;;
121103;1200;;
121103;1300;;
121103;1400;;
121103;1500;;
121103;1600;;
121103;1700;;
121103;1800;;
121103;1900;;
121103;2000;;
121103;2100;;
121103;2200;;
121103;2300;;
121104;0000;;
121104;0100;;
121104;0200;;
121104;0300;;
121104;0400;;
121104;0500;;
121104;0600;;
121104;0700;;
121104;0800;;
121104;0900;;
121104;1000;;
121104;1100;;
121104;1200;;
121104;1300;;
121104;1400;;
121104;1500;;
121104;1600;;
121104;1700;;
121104;1800;;
121104;1900;;
121104;2000;;
121104;2100;;
121104;2200;;
121104;2300;;
121105;0000;;
121105;0100;;
121105;0200;;
121105;0300;;
121105;0400;;
121105;0500;;
121105;0600;;
121105;0700;;
121105;0800;;
121105;0900;;
121105;1000;;
121105;1100;;
121105;1200;;
121105;1300;;
121105;1400;;
121105;1500;;
121105;1600;;
121105;1700;;
121105;1800;;
121105;1900;;
121105;2000;;
121105;2100;;
121105;2200;;
121105;2300;;
121106;0000;;
121106;0100;;
121106;0200;;
121106;0300;;
121106;0400;;
121106;0500;;
121106;0600;;
121106;0700;;
121106;0800;;
121106;0900;;
121106;1000;;
121106;1100;;
121106;1200;;
121106;1300;;
121106;1400;;
121106;1500;;
121106;1600;;
121106;1700;;
121106;1800;;
121106;1900;;
121106;2000;;
121106;2100;;
121106;2200;;
121106;2300;;
121107;0000;;
121107;0100;;
121107;0200;;
121107;0300;;
121107;0400;;
121107;0500;;
121107;0600;;
121107;0700;;
121107;0800;;
121107;0900;;
121107;1000;;
121107;1100;;
121107;1200;;
121107;1300;;
121107;1400;;
121107;1500;;
121107;1600;;
121107;1700;;
121107;1800;;
121107;1900;;
121107;2000;;
121107;2100;;
121107;2200;;
121107;2300;;
121108;0000;;
121108;0100;;
121108;0200;;
121108;0300;;
121108;0400;;
121108;0500;;
121108;0600;;
121108;0700;;
121108;0800;;
121108;0900;;
121108;1000;;
121108;1100;;
121108;1200;;
121108;1300;;
121108;1400;;
121108;1500;;
121108;1600;;
121108;1700;;
121108;1800;;
121108;1900;;
121108;2000;;
121108;2100;;
121108;2200;;
121108;2300;;
121109;0000;;
121109;0100;;
121109;0200;;
121109;0300;;
121109;0400;;
121109;0500;;
121109;0600;;
121109;0700;;
121109;0800;;
121109;0900;;
121109;1000;;
121109;1100;;
121109;1200;;
121109;1300;;
121109;1400;;
121109;1500;;
121109;1600;;
121109;1700;;
121109;1800;;
121109;1900;;
121109;2000;;
121109;2100;;
121109;2200;;
121109;2300;;
121110;0000;;
121110;0100;;
121110;0200;;
121110;0300;;
121110;0400;;
121110;0500;;
121110;0600;;
121110;0700;;
121110;0800;;
121110;0900;;
121110;1000;;
121110;1100;;
121110;1200;;
121110;1300;;
121110;1400;;
121110;1500;;
121110;1600;;
121110;1700;;
121110;1800;;
121110;1900;;
121110;2000;;
121110;2100;;
121110;2200;;
121110;2300;;
121111;0000;;
121111;0100;;
121111;0200;;
121111;0300;;
121111;0400;;
121111;0500;;
121111;0600;;
121111;0700;;
121111;0800;;
121111;0900;;
121111;1000;;
121111;1100;;
121111;1200;;
121111;1300;;
121111;1400;;
121111;1500;;
121111;1600;;
121111;1700;;
121111;1800;;
121111;1900;;
121111;2000;;
121111;2100;;
121111;2200;;
121111;2300;;
121112;0000;;
121112;0100;;
121112;0200;;
121112;0300;;
121112;0400;;
121112;0500;;
121112;0600;;
121112;0700;;
121112;0800;;
121112;0900;;
121112;1000;;
121112;1100;;
121112;1200;;
121112;1300;;
121112;1400;;
121112;1500;;
121112;1600;;
121112;1700;;
121112;1800;;
121112;1900;;
121112;2000;;
121112;2100;;
121112;2200;;
121112;2300;;
121113;0000;;
121113;0100;;
121113;0200;;
121113;0300;;
121113;0400;;
121113;0500;;
121113;0600;;
121113;0700;;
121113;0800;;
121113;0900;;
121113;1000;;
121113;1100;;
121113;1200;;
121113;1300;;
121113;1400;;
121113;1500;;
121113;1600;;
121113;1700;;
121113;1800;;
121113;1900;;
121113;2000;;
121113;2100;;
121113;2200;;
121113;2300;;
121114;0000;;
121114;0100;;
121114;0200;;
121114;0300;;
121114;0400;;
121114;0500;;
121114;0600;;
121114;0700;;
121114;0800;;
121114;0900;;
121114;1000;;
121114;1100;;
121114;1200;;
121114;1300;;
121114;1400;;
121114;1500;;
121114;1600;;
121114;1700;;
121114;1800;;
121114;1900;;
121114;2000;;
121114;2100;;
121114;2200;;
121114;2300;;
121115;0000;;
121115;0100;;
121115;0200;;
121115;0300;;
121115;0400;;
121115;0500;;
121115;0600;;
121115;0700;;
121115;0800;;
121115;0900;;
121115;1000;;
121115;1100;;
121115;1200;;
121115;1300;;
121115;1400;;
121115;1500;;
121115;1600;;
121115;1700;;
121115;1800;;
121115;1900;;
121115;2000;;
121115;2100;;
121115;2200;;
121115;2300;;
121116;0000;;
121116;0100;;
121116;0200;;
121116;0300;;
121116;0400;;
121116;0500;;
121116;0600;;
121116;0700;;
121116;0800;;
121116;0900;;
121116;1000;;
121116;1100;;
121116;1200;;
121116;1300;;
121116;1400;;
121116;1500;;
121116;1600;;
121116;1700;;
121116;1800;;
121116;1900;;
121116;2000;;
121116;2100;;
121116;2200;;
121116;2300;;
121117;0000;;
121117;0100;;
