FECHA (YYMMDD);HORA (HHMM);;
090124;0100;;
090124;0200;;
090124;0300;;
090124;0400;;
090124;0500;;
090124;0600;;
090124;0700;;
090124;0800;;
090124;0900;;
090124;1000;;
090124;1100;;
090124;1200;4;
090124;1300;;
090124;1400;;
090124;1500;;
090124;1600;;
090124;1700;;
090124;1800;;
090124;1900;;
090124;2000;;
090124;2100;;
090124;2200;;
090124;2300;;
090125;0000;;
090125;0100;;
090125;0200;;
090125;0300;;
090125;0400;;
090125;0500;;
090125;0600;;
090125;0700;;
090125;0800;;
090125;0900;;
090125;1000;;
090125;1100;;
090125;1200;;
090125;1300;;
090125;1400;;
090125;1500;;
090125;1600;;
090125;1700;;
090125;1800;;
090125;1900;;
090125;2000;;
090125;2100;;
090125;2200;;
090125;2300;;
090126;0000;;
090126;0100;;
090126;0200;;
090126;0300;;
090126;0400;;
090126;0500;;
090126;0600;;
090126;0700;;
090126;0800;;
090126;0900;;
090126;1000;;
090126;1100;;
090126;1200;;
090126;1300;;
090126;1400;;
090126;1500;;
090126;1600;;
090126;1700;;
090126;1800;;
090126;1900;;
090126;2000;;
090126;2100;;
090126;2200;;
090126;2300;;
090127;0000;;
090127;0100;;
090127;0200;;
090127;0300;;
090127;0400;;
090127;0500;;
090127;0600;;
090127;0700;;
090127;0800;;
090127;0900;;
090127;1000;;
090127;1100;;
090127;1200;;
090127;1300;;
090127;1400;;
090127;1500;;
090127;1600;;
090127;1700;;
090127;1800;;
090127;1900;;
090127;2000;;
090127;2100;;
090127;2200;;
090127;2300;;
090128;0000;;
090128;0100;;
090128;0200;;
090128;0300;;
090128;0400;;
090128;0500;;
090128;0600;;
090128;0700;;
090128;0800;;
090128;0900;;
090128;1000;;
090128;1100;;
090128;1200;;
090128;1300;;
090128;1400;;
090128;1500;;
090128;1600;;
090128;1700;;
090128;1800;;
090128;1900;;
090128;2000;;
090128;2100;;
090128;2200;;
090128;2300;;
090129;0000;;
090129;0100;;
090129;0200;;
090129;0300;;
090129;0400;;
090129;0500;;
090129;0600;;
090129;0700;;
090129;0800;;
090129;0900;;
090129;1000;;
090129;1100;;
090129;1200;;
090129;1300;;
090129;1400;;
090129;1500;;
090129;1600;;
090129;1700;;
090129;1800;;
090129;1900;;
090129;2000;;
090129;2100;;
090129;2200;;
090129;2300;;
090130;0000;;
090130;0100;;
090130;0200;;
090130;0300;;
090130;0400;;
090130;0500;;
090130;0600;;
090130;0700;;
090130;0800;;
090130;0900;;
090130;1000;;
090130;1100;;
090130;1200;;
090130;1300;;
090130;1400;;
090130;1500;;
090130;1600;;
090130;1700;;
090130;1800;;
090130;1900;;
090130;2000;;
090130;2100;;
090130;2200;;
090130;2300;;
090131;0000;;
090131;0100;;
090131;0200;;
090131;0300;;
090131;0400;;
090131;0500;;
090131;0600;;
090131;0700;;
090131;0800;;
090131;0900;;
090131;1000;;
090131;1100;;
090131;1200;;
090131;1300;;
090131;1400;;
090131;1500;;
090131;1600;;
090131;1700;;
090131;1800;;
090131;1900;;
090131;2000;;
090131;2100;;
090131;2200;;
090131;2300;;
090201;0000;;
090201;0100;;
090201;0200;;
090201;0300;;
090201;0400;;
090201;0500;;
090201;0600;;
090201;0700;;
090201;0800;;
090201;0900;;
090201;1000;;
090201;1100;;
090201;1200;;
090201;1300;;
090201;1400;;
090201;1500;;
090201;1600;;
090201;1700;;
090201;1800;;
090201;1900;;
090201;2000;;
090201;2100;;
090201;2200;;
090201;2300;;
090202;0000;;
090202;0100;;
090202;0200;;
090202;0300;;
090202;0400;;
090202;0500;;
090202;0600;;
090202;0700;;
090202;0800;;
090202;0900;;
090202;1000;;
090202;1100;;
090202;1200;;
090202;1300;;
090202;1400;;
090202;1500;;
090202;1600;;
090202;1700;;
090202;1800;;
090202;1900;;
090202;2000;;
090202;2100;;
090202;2200;;
090202;2300;;
090203;0000;;
090203;0100;;
090203;0200;;
090203;0300;;
090203;0400;;
090203;0500;;
090203;0600;;
090203;0700;;
090203;0800;;
090203;0900;;
090203;1000;;
090203;1100;;
090203;1200;;
090203;1300;;
090203;1400;;
090203;1500;;
090203;1600;;
090203;1700;;
090203;1800;;
090203;1900;;
090203;2000;;
090203;2100;;
090203;2200;;
090203;2300;;
090204;0000;;
090204;0100;;
090204;0200;;
090204;0300;;
090204;0400;;
090204;0500;;
090204;0600;;
090204;0700;;
090204;0800;;
090204;0900;;
090204;1000;;
090204;1100;;
090204;1200;;
090204;1300;;
090204;1400;;
090204;1500;;
090204;1600;;
090204;1700;;
090204;1800;;
090204;1900;;
090204;2000;;
090204;2100;;
090204;2200;;
090204;2300;;
090205;0000;;
090205;0100;;
090205;0200;;
090205;0300;;
090205;0400;;
090205;0500;;
090205;0600;;
090205;0700;;
090205;0800;;
090205;0900;;
090205;1000;;
090205;1100;;
090205;1200;;
090205;1300;;
090205;1400;;
090205;1500;;
090205;1600;;
090205;1700;;
090205;1800;;
090205;1900;;
090205;2000;;
090205;2100;;
090205;2200;;
090205;2300;;
090206;0000;;
090206;0100;;
090206;0200;;
090206;0300;;
090206;0400;;
090206;0500;;
090206;0600;;
090206;0700;;
090206;0800;;
090206;0900;;
090206;1000;;
090206;1100;;
090206;1200;;
090206;1300;;
090206;1400;90;
090206;1500;;
090206;1600;;
090206;1700;;
090206;1800;;
090206;1900;;
090206;2000;;
090206;2100;;
090206;2200;;
090206;2300;;
090207;0000;3;
090207;0100;;
090207;0200;;
090207;0300;;
090207;0400;;
090207;0500;;
090207;0600;;
090207;0700;;
090207;0800;;
090207;0900;;
090207;1000;;
090207;1100;;
090207;1200;;
090207;1300;;
090207;1400;90;
090207;1500;90;
090207;1600;;
090207;1700;;
090207;1800;;
090207;1900;;
090207;2000;;
090207;2100;;
090207;2200;;
090207;2300;;
090208;0000;;
090208;0100;3;
090208;0200;3;
090208;0300;;
090208;0400;;
090208;0500;3;
090208;0600;3;
090208;0700;;
090208;0800;;
090208;0900;;
090208;1000;3;
090208;1100;3;
090208;1200;;
090208;1300;90;
