FECHA (YYMMDD);HORA (HHMM);;
130101;0100;;
130101;0200;;
130101;0300;;
130101;0400;;
130101;0500;;
130101;0600;;
130101;0700;;
130101;0800;;
130101;0900;;
130101;1000;;
130101;1100;;
130101;1200;;
130101;1300;;
130101;1400;;
130101;1500;;
130101;1600;;
130101;1700;;
130101;1800;;
130101;1900;;
130101;2000;;
130101;2100;;
130101;2200;;
130101;2300;;
130102;0000;;
130102;0100;;
130102;0200;;
130102;0300;;
130102;0400;;
130102;0500;;
130102;0600;;
130102;0700;;
130102;0800;;
130102;0900;;
130102;1000;;
130102;1100;;
130102;1200;;
130102;1300;;
130102;1400;;
130102;1500;;
130102;1600;;
130102;1700;;
130102;1800;;
130102;1900;;
130102;2000;;
130102;2100;;
130102;2200;;
130102;2300;;
130103;0000;;
130103;0100;;
130103;0200;;
130103;0300;;
130103;0400;;
130103;0500;;
130103;0600;;
130103;0700;;
130103;0800;;
130103;0900;;
130103;1000;;
130103;1100;;
130103;1200;;
130103;1300;;
130103;1400;;
130103;1500;;
130103;1600;;
130103;1700;;
130103;1800;;
130103;1900;;
130103;2000;;
130103;2100;;
130103;2200;;
130103;2300;;
130104;0000;;
130104;0100;;
130104;0200;;
130104;0300;;
130104;0400;;
130104;0500;;
130104;0600;;
130104;0700;;
130104;0800;;
130104;0900;;
130104;1000;;
130104;1100;;
130104;1200;;
130104;1300;;
130104;1400;;
130104;1500;;
130104;1600;;
130104;1700;;
130104;1800;;
130104;1900;;
130104;2000;;
130104;2100;;
130104;2200;;
130104;2300;;
130105;0000;;
130105;0100;;
130105;0200;;
130105;0300;;
130105;0400;;
130105;0500;;
130105;0600;;
130105;0700;;
130105;0800;;
130105;0900;;
130105;1000;;
130105;1100;;
130105;1200;;
130105;1300;;
130105;1400;;
130105;1500;;
130105;1600;;
130105;1700;;
130105;1800;;
130105;1900;;
130105;2000;;
130105;2100;;
130105;2200;;
130105;2300;;
130106;0000;;
130106;0100;;
130106;0200;;
130106;0300;;
130106;0400;;
130106;0500;;
130106;0600;;
130106;0700;;
130106;0800;;
130106;0900;;
